Аптека;Товар;Изготовитель;Страна;Штрихкод;Цена розничная;Цена закупочная;Цена завода с НДС;Цена реестра;Остаток;Сумма опт;Срок годности;Серия;Сертификат;Дата сертификата;Орган сертификации;Срок действия сертификата;Регистрационные номер;НГТД;Номер документа поставщика;Дата документа поставщика;Документ поставки;Поставщик;НДС;Наценка;Группа;Отдел
Аптека №210;Гастал таб №60;Тева;Польша;3850114224017;424;350,37;350,37;0;1;350,37;01.07.2019;16310116;РОСС PL.ФМ15.Д14161;26.08.2016;ОЦКК ООО;01.07.2019;;10130032/051016/0008683/4;ФК002672250;02.11.2017;Приход от поставщика №ФК002672250;Фармкомплект ООО;10;21,01492707709;;1;
Аптека №210;Индапамид-Тева 2,5мг капс №30;Меркле ГмбХ;Германия;4030096114769;99;82,04;74,66;68;2;164,08;01.04.2022;T14067B;РОСС DE.ФМ15.Д36589;29.06.2017;ОЦКК ООО;01.04.2022;;10013040/040717/0000028/2;ФК002672250;02.11.2017;Приход от поставщика №ФК002672250;Фармкомплект ООО;10;22,716313956603;ЖНВЛС;1;
Аптека №210;Лизиноприл 20мг №20 (Тева);Алси Фарма, ЗАО;Россия;4607011631344;69;52,49;85,49;103,57;1;52,49;01.04.2019;220316;РОСС RU.ФВ14.Д21173;20.04.2016;Техкачество ЗАО;01.04.2019;;;ФК002672250;02.11.2017;Приход от поставщика №ФК002672250;Фармкомплект ООО;10;19,31220025734;ЖНВЛС;1;
Аптека №210;Микодерил 1% крем 15г;Фармстандарт-Томскхимф;Россия;4602196003894;369;304,87;304,87;0;1;304,87;01.01.2019;1151216;РОСС RU.ФМ05.Д68324;14.12.2016;ООО ОЦС Екатеринбург;01.01.2019;;;ФК002672250;02.11.2017;Приход от поставщика №ФК002672250;Фармкомплект ООО;10;21,035195329157;;1;
Аптека №210;Парацетамол 120мг/5мл сусп 100мл;Синтез ОАО;Россия;4602565017255;59;49,69;49,23;44,75;1;49,69;01.04.2020;730317;РОСС RU.ФМ05.Д81846;14.03.2017;ООО ОЦС Екатеринбург;01.04.2020;;;ФК002672250;02.11.2017;Приход от поставщика №ФК002672250;Фармкомплект ООО;10;18,913153885221;ЖНВЛС;1;
Аптека №210;Спазган таб №20;Вокхард Лтд;Индия/Россия;4605501000083;94;76,18;76,18;0;2;152,36;30.04.2019;DR10387;РОСС IN.ФМ08.Д50305;26.01.2017;ООО "ОЦКК" г.Москва;30.04.2019;;10130130/251016/0015961/47;ФК002672250;02.11.2017;Приход от поставщика №ФК002672250;Фармкомплект ООО;10;23,391966395379;;1;
Аптека №210;Флюдитек 5% сироп д/взрослых 125мл;Иннотера шузи;Франция;3400935831316;409;340,39;340,4;0;1;340,39;28.02.2019;U161B;РОСС FR.МП25.Д90937;01.08.2017;Центр ЭКСПЕРТФАРМ ООО;28.02.2019;;10013042/020817/0000710/1;ФК002672250;02.11.2017;Приход от поставщика №ФК002672250;Фармкомплект ООО;10;20,156291312906;;1;
Аптека №210;Цефтриаксон 1000мг порошок для приг р-ра для в/в и в/м введ №1;Синтез;Россия;4602565014209;24;18,07;20,93;19,03;2;36,14;01.02.2020;240117;РОСС RU.ФМ05.Д77689;16.02.2017;ООО ОЦС Екатеринбург;01.02.2020;;;ФК002672250;02.11.2017;Приход от поставщика №ФК002672250;Фармкомплект ООО;10;28,332537028189;ЖНВЛС;1;
Аптека №210;Алмагель А 170мл сусп;Балканфарма;Болгария;3800009121013;254;194,997;0;0;2;389,994;01.01.2019;310117;РОСС BG.ФМ15.Д28953;09.03.2017;ОСП ООО "Окружной центр контроля качества" г. Москва;01.01.2019;;10130030/170317/0001212;16444;07.11.2017;Приход перемещением №16444;Менеджер;10;30,258414232014;;1;
Аптека №210;Антигрипин детский с 3х лет №10;Натур Продукт/НП-Логистика ООО;Польша;8717627103213;274;227,50200757575;0;0;2;455,0040151515;01.08.2020;02400817;РОСС PL.ФМ15.Д40548;31.08.2017;ОСП ООО "Окружной центр контроля качества" г. Москва;01.08.2020;;10013042/040917/0001442;16444;07.11.2017;Приход перемещением №16444;Менеджер;10;20,438497628977;;1;
Аптека №210;Бепантен 5% мазь 30г;Гренцах Продукционс;Германия;4250369506620;444;369,05;0;0;1;369,05;04.03.2020;GP01BWP;РОСС DE.ФМ15.Д31692;17.04.2017;ОЦКК - "Окружной центр контроля качества".ООО г. Москва;04.03.2020;;10130032/030517/0002881/1;16444;07.11.2017;Приход перемещением №16444;Менеджер;10;20,308901232895;ЖНВЛС;1;
Аптека №210;Глюкометр акку-чек active набор;Рош Диагностикс ГмбХ;Германия;4015630065073;689;570;;;1;570;01.12.2018;10146670;ФС3 2007/00817;24.03.2017;Федеральная служба Росздравнадзора;;;;16444;07.11.2017;Приход перемещением №16444;Менеджер;0;20,877192982456;ЖНВЛС,Стоп Цена;3;
Аптека №210;Стопангин спрей 0,2% 30мл;Тева;ЧЕШСКАЯ РЕСПУБЛИКА;8594737231049;229;194,997;0;0;2;389,994;01.03.2019;100002137;РОСC CZ.ФМ15.Д35094;07.06.2017;ОСП ООО "Окружной центр контроля качества" г. Москва;31.03.2019;;10130030/130617/0002;16444;07.11.2017;Приход перемещением №16444;Менеджер;10;17,437704169808;;1;
Аптека №210;Троксерутин гель 2% 40гр;Балканфарма;Болгария;3800009130190;229;173,976;158,16;0;4;695,904;01.02.2022;380217;РОСС BG.ФМ15.Д34816;05.06.2017;ОСП ООО "Окружной центр контроля качества" г. Москва;01.02.2022;;10130030/210617/0003;16444;07.11.2017;Приход перемещением №16444;Менеджер;10;31,627350898975;;1;
Аптека №210;Хилак форте капли 100мл;Меркле ГмбХ;Германия;4030096245173;509;423,181;384,71;0;2;846,362;01.09.2020;S31236;РОСС DE.ФМ15.Д24118;21.12.2016;ОСП ООО "Окружной центр контроля качества" г. Москва;01.09.2020;;10130030/211216/0005;16444;07.11.2017;Приход перемещением №16444;Менеджер;10;20,279502151562;Стоп Цена;1;
Аптека №210;Цетрин 10мг таб п/о №20;Др.Реддиc Лабораторис Лтд;Индия;8901148007017;164;130;132,06;120,05;1;130;01.02.2019;V700118;РОСС IN.ФМ15.Д33265;12.05.2017;ФМ15 "Окружной центр контроля качества";28.02.2019;;10002010/120517/0030229/1;16444;07.11.2017;Приход перемещением №16444;Менеджер;10;25,746847904282;ЖНВЛС;1;
Аптека №210;УРО-ВАКСОМ 0.006 N30 КАПС;ОМ ФАРМА СА;Швейцария;7681900598014;1419;1286,01;1286,01;0;1;1286,01;01.02.2021;1600127;РОСС СН.МП25.А27628;01.02.2021;Центр Экспертфарм ООО;01.02.2021;;10117070/150816/0018397/1;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;10,341288170388;Стоп Цена;1;
Аптека №210;Зокардис 7,5мг таб п/о №28;Берлин-Хеми/Менарини Фарма ГмбХГермания;Италия;4013054010600;256;194,9;194,898;0;1;194,9;01.04.2019;62036;POCC IT.ФM11.Д51688;01.01.1900;ООО "Формат качества";01.04.2019;;10130130/030616/0007655/1;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;31,349409953823;;1;
Аптека №210;Исмиген 7мг лингв таб №10;Брускеттини С.р.Л;Италия;4601026307584;529;437,49;0;0;1;437,49;01.08.2019;691;РОСС RU.ФM08.В02722;26.08.2016;ООО "Окружной центр контроля качества" г. Москва;08.04.2017;;10005022/241016/0071;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;20,917049532561;;1;
Аптека №210;Витамины д/больных диабетом таб №30 (БАД);Верваг Фарма ГмбХ и Ко.КГ;Германия;4030674001177;264;186,44;186,44;0;1;186,44;01.04.2018;15E181;POCC DE.AГ80.Д04031;01.01.1900;РОСС RU.0001.11АГ80;27.06.2014;;10130060/131216/0020438/1;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;18;41,600514910963;;2;
Аптека №210;Микардис 40мг таб №14;Берингер Ингельхайн;Германия/Греция;9006968010342;630;484,13;484,132;0;2;968,26;01.07.2020;644692;POCC GR.ФM08.Д42459;01.01.1900;ООО"ОЦКК"  Москва;31.07.2020;;10130130/101116/0016819/2;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;30,130336892983;;1;
Аптека №210;Исмиген 7мг лингв таб №10;Брускеттини С.р.Л;Италия;4601026307584;529;437,49;0;0;1;437,49;01.08.2019;691;РОСС RU.ФM08.В02722;26.08.2016;ООО "Окружной центр контроля качества" г. Москва;08.04.2017;;10005022/241016/0071;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;20,917049532561;;1;
Аптека №210;Лоринден А мазь 15г;Ельфа фармзавод;Польша;5904398425023;420;323,13;323,125;0;1;323,13;01.04.2019;604141;POCC PL.ФM15.Д11386;01.01.1900;ООО"ОЦКК"  Москва;01.04.2019;;10130032/190716/0006151/1;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;29,97864636524;;1;
Аптека №210;Амиодарон 200мг таб №30;Борисовский ЗМП;Беларусь;4810201006314;138;105,64;108,33;102,15;1;105,64;01.07.2019;3330616;РОСС BY.МП25.Д56296;01.01.1900;МП25 ОС "Центр ЭКСПЕРТФАРМ" ООО;01.07.2019;;;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;29,871688359642;ЖНВЛС;1;
Аптека №210;Нифекард ХЛ 60мг таб п/о №30;Лек Д.Д.;Словения;3838957294633;340;264,4;252,428;229,85;1;264,4;01.05.2019;GH0455;POCC SI.ФM08.Д36186;01.01.1900;ООО"ОЦКК"  Москва;01.05.2019;;10130032/120916/0007821/6;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;29,94913401049;ЖНВЛС;1;
Аптека №210;Напроксен 250мг таб №30;Акрихин;Россия;4601969002850;194;160,93;160,93;0;5;804,65;01.10.2019;11016;РОСС RU.ФВ14.Д30511;01.10.2019;Техкачество,ЗАО;01.10.2019;;;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;20,549307152178;;1;
Аптека №210;Этацизин 50мг №50;Олайнфарм АО;Латвия;4750258022120;1700;1255,64;1255,639;0;1,4;1757,896;01.06.2019;290616;POCC LV.ФM11.Д68419;01.01.1900;ООО "Формат качества";01.06.2019;;10130130/251116/0017796/9;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;35,389124271288;Делимый товар,Стоп Цена;1;
Аптека №210;Беротек /фенотерол/ 0,1% 20мл р-р д/инг;Boehringer Ingelheim/Instituto De Angeli;Италия;9006968004013;389;298,2;0;0;2;596,4;01.11.2020;533256A;РОСС IT.ФM08.Д41085;26.10.2016;ООО "Окружной центр контроля качества" г. Москва;01.11.2020;;10130130/271016/0016;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;30,449362843729;;1;
Аптека №210;Беротек Н 100мкг/доза 200доз 10мл аэр;Берингер Ингельхайн;Германия;9006968003160;439;337,35;0;0;1;337,35;01.06.2019;604788;РОСС DE.ФM08.Д35704;06.09.2016;ООО "Окружной центр контроля качества" г. Москва;30.06.2019;;10130130/060916/0012;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;30,131910478731;;1;
Аптека №210;Нейромидин 20мг таб №50;Олайнфарм АО;Латвия;4750258314157;1159;1040,26;1040,259;0;1;1040,26;01.12.2021;421216;POCC LV.ФM11.Д73473;01.01.1900;ООО "Формат качества";01.12.2021;;10130130/170117/0000303/2;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;11,414454078788;Стоп Цена;1;
Аптека №210;Тетрациклин -Лек Т 100мг таб п/о №20;Тюменский хфз;Россия;4602809006304;74;61,095;0;0;1;61,095;01.08.2019;180816;РОСС RU.ФМ10.Д60817;28.10.2016;ООО"СЦДС".г. Новосибирск.ул.Коммунистическая.35;01.08.2019;;;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;21,122841476389;Делимый товар;1;
Аптека №210;Ранекса 500мг таб п/о №60;Менарини-Фон Хейден ГмбХ;Германия;4013054020630;3149;2860,95;0;0;0,66666666666667;1907,30000000001;01.08.2020;68055;РОСС DE.ФМ11.Д67531;14.11.2016;ООО "ФОРМАТ КАЧЕСТВА";01.08.2020;;10130130/021216/0018;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;10,068333945018;Делимый товар,Стоп Цена;1;
Аптека №210;Хондроксид 250мг таб №60;Нижфарм;Россия;4601026303739;680;536,74;536,75;0;1;536,74;01.04.2018;10316;РОСС RU.ФМ11.Д43066;10.03.2016;Формат качества ООО;01.04.2018;;;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;26,690762752916;;1;
Аптека №210;Траватан 40мкг/мл глазн кап 2,5мл;Алкон;Бельгия;5413895021503;914;653,06;0;0;1;653,06;01.08.2018;16H08RH;РОСС BE.ФМ15.Д25433;19.01.2017;ОСП ООО "Окружной центр контроля качества" г. Москва;08.08.2018;;10130032/190117/0000;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;39,956512418461;;1;
Аптека №210;Луцетам 800мг таб п/о №30;Эгис Фармацевтический завод ЗАО;венгрия;5995327225074;74;56,65;54,9;50,16;1;56,65;01.07.2021;E607N0716;РОСС HU.ФМ15.Д18967;01.07.2021;ОЦКК;01.07.2021;;10130032/071116/0009811/12;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;31,6029143898;ЖНВЛС;1;
Аптека №210;Назарел 50мкг/доза 120доз спрей назал;Тева;Чехия;8594737209819;349;291,005;0;0;1;291,005;01.05.2019;3A0760516;РОСС CZ.ФМ15.Д12211;27.07.2016;ОСП ООО "Окружной центр контроля качества" г. Москва;01.05.2019;;10130032/280716/0006;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;19,929210838302;;1;
Аптека №210;Кордафлекс 10мг таб п/о №100;Эгис;Венгрия;5995327182063;98;76,24;74,536;68,03;3;228,72;01.02.2020;Q16N0216;POCC HU.ФM11.Д62751;01.01.1900;ООО "Формат качества";01.02.2020;;10130130/051016/0014620/10;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;29,193946549319;ЖНВЛС;1;
Аптека №210;Туссамаг сироп 175г;Меркле ГмбХ;Германия;4030096288460;259;198,85;0;0;1;198,85;01.07.2018;R23401;РОСС DE.ФM08.Д01818;04.12.2015;ООО "Окружной центр контроля качества" г. Москва;01.07.2018;;10130032/071215/0010;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;30,248931355293;;1;
Аптека №210;Кларитромицин 500мг таб п/о №14;Реплекфарм АО/ БФЗ ЗАО;Россия;4607146760261;279;216,15;244,44;336,1;1;216,15;01.12.2019;A2515;РОСС RU.ФМ05.Д82928;01.12.2018;ОЦС, г.Екатеринбург;01.12.2018;;;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;25,711831124202;ЖНВЛС;1;
Аптека №210;Плаквенил 200мг №60;Sanofi Aventis S.A.;Великобритания;3582910007654;1109;1001,51;1005,84;946,92;1;1001,51;01.12.2019;M132;РОСС ES.ФМ08.Д51598;09.02.2017;ООО "ОЦКК" г.Москва;01.12.2019;;10113110/090217/0013578/3;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;10,686590312575;ЖНВЛС,Стоп Цена;1;
Аптека №210;Нейромидин 20мг №50;Олайнфарм АО;Латвия;4750258314157;1179;1040,85;1040,85;0;1;1040,85;01.09.2021;280916;РОСС LV.ФВ14.Д30642;03.11.2016;Техкачество ЗАО;01.09.2021;;10408040/141116/0034331/6;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;13,27280587981;Стоп Цена;1;
Аптека №210;Целебрекс 200мг капс №10;Пфайзер;США;4607131042495;409;340,12;340,12;0;2;680,24;01.08.2019;00006007;РОСС DE.ФМ15.Д28118;27.02.2017;ОЦКК;01.08.2019;;10130032/280217/0001254/02;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;20,251675879102;;1;
Аптека №210;Целебрекс 100мг капс №10;Пфайзер;Германия;4607131042488;519;430,65;430,65;0;2;861,3;01.06.2019;00005460;РОСС DE.ФМ15.Д25381;18.01.2017;ОЦКК;01.06.2019;;10130032/180117/0000298/01;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;20,515499825845;;1;
Аптека №210;Структум 500мг капс №60;Сотекс-Pierre Fabre Medicament Production;Франция/Россия;4605964004444;1564;1419;1419;0;1;1419;01.01.2019;G08090;РОСС RU.ФМ11.Д59654;30.08.2016;ФОРМАТ КАЧЕСТВА,ООО;01.01.2019;;;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;10,218463706836;Стоп Цена;1;
Аптека №210;Рамазид н 2,5мг+12,5мг таб №30;Актавис ао;мальта;4650069650195;379;312,4;312,4;0;1;312,4;01.06.2018;F71209;РОСС МТ.ФМ15.Д29267;01.06.2018;ОЦКК;01.06.2018;;10130032/140317/0001669/2;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;21,318822023047;;1;
Аптека №210;Предуктал ОД 80мг капс №30;Фармстандарт/Лаборат Сервье;Россия;4601669010650;814;677,58909090908;0;0;3;2032,76727272724;01.09.2018;20916;РОСС RU.ФМ05.Д57831;11.10.2016;ООО " Окружной центр сертификации" г. Екатеринбург;01.09.2018;;;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;20,131804204211;;1;
Аптека №210;Конкор АМ 10мг+5мг таб п/о №30;Эгис;Венгрия;4027269303174;739;526,24;526,24;0;1;526,24;01.06.2019;2225A0616;РОСС HU.ФМ08.Д37836;27.09.2016;ОЦКК;01.06.2019;;10130130/130217/0001807/7;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;40,430221951961;;1;
Аптека №210;Нейромидин 15мг/мл р-р д/ин 1мл амп №10;Софарма АО;Болгария;4750258010042;1234;1110,67;1110,67;0;2;2221,34;01.10.2019;21016;РОСС LV.ФМ15.Д27684;01.10.2019;ОЦКК;01.10.2019;;10130032/261216/0011515/2;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;11,104108331007;Стоп Цена;1;
Аптека №210;Проноран 50мг таб п/о №30;Лаборатории Сервье Индастри/ООО Сердикс;Россия;4607159860088;550;457,9;460,9;419;1;457,9;01.05.2019;0010816;POCC RU.ФM08.Д34725;01.01.1900;ООО"ОЦКК"  Москва;01.05.2019;;;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;19,982642655674;ЖНВЛС;1;
Аптека №210;Калчек /амлодипин/ 10мг таб №30;Ипка Лабораториз Лимитед;Индия/Россия;8901079001276;336;259,655;256,66;233,33;1;259,655;01.06.2018;NK175021;РОСС IN.ФM08.Д20306;01.04.2019;ООО "Окружной центр контроля качества" г. Москва;30.06.2018;;10130130/040416/0004;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;29,745577807216;ЖНВЛС;1;
Аптека №210;Кларитромицин 500мг таб п/о пролонг №14;ОАО Фармстандарт-Томскхимф RU;Россия;4602196003979;588;449,68;462;571,89;1;449,68;01.06.2018;10516;РОСС RU.ФМ05.Д39526;01.06.2018;ОЦС, г.Екатеринбург;01.06.2018;;;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;29,939393939394;ЖНВЛС;1;
Аптека №210;Баклосан 25мг таб №50;Польфарма Фармацевтический завод;Польша;5903060004665;554;443,08;430,05;391,34;1;443,08;01.08.2019;60816;РОСС PL.ФВ14.Д34272;16.01.2017;Техкачество,ЗАО;01.08.2019;;10130032/180117/0000277/1;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;25,792349726776;ЖНВЛС;1;
Аптека №210;Баклосан 25мг таб №50;Польфарма Фармацевтический завод;Польша;5903060004665;554;443,08;430,05;391,34;1;443,08;01.08.2019;60816;РОСС PL.ФВ14.Д34272;16.01.2017;Техкачество,ЗАО;01.08.2019;;10130032/180117/0000277/1;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;25,792349726776;ЖНВЛС;1;
Аптека №210;Фенотропил 100мг таб №10;Валента Фармацевтика ОАО;Россия;4602193006768;478;417,89;379,95;345,41;1;417,89;01.02.2022;10117;РОСС RU.ФМ11.Д74175;01.02.2022;ФОРМАТ КАЧЕСТВА,ООО;01.02.2022;;;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;15,820502697723;ЖНВЛС;1;
Аптека №210;Тизалуд 4мг таб №30;Верофарм;Россия;4607083726221;217;162,21666666667;184,14;187,82;1;162,21666666667;01.10.2018;110916;POCC RU.MД07.Д01137;01.01.1900;;01.10.2018;;;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;29,750914159515;ЖНВЛС;1;
Аптека №210;Тидомет форте таб №100;Torrent pharmaceuticals ltd.;Индия;4602656000616;659;580,57;529,47;482,05;1;580,57;01.04.2019;CJ99C011;РОСС IN.ФМ11.Д59945;01.09.2016;ООО "ФОРМАТ КАЧЕСТВА";30.04.2019;;10130130/290816/0012;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;14,812926133681;ЖНВЛС;1;
Аптека №210;Вобэнзим таб п/о №40;Мукос Эмульсионс Гмб;Германия;4030142016405;459;380,005;0;0;1;380,005;01.03.2019;3K6054000;РОСС DE.ФМ15.Д22710;08.12.2016;ОСП ООО "Окружной центр контроля качества" г. Москва;01.03.2019;;10130030/081216/0005;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;20,787884369942;;1;
Аптека №210;Бронхикум С сироп 100мл;А.Наттерманн энд Сие ГмбХ;Германия;4030113647133;339;251,55;0;0;2;503,1;01.03.2019;6K0791;РОСС DE.ФM08.Д26153;01.06.2016;ООО "Окружной центр контроля качества" г. Москва;01.03.2019;;10113110/170516/0003;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;34,764460345856;;1;
Аптека №210;Бронхикум ТП эликсир 130мл;Авентис Фарма Холмс Чэпл;Германия;4030113647164;330;251,37;0;0;2;502,74;01.05.2019;6K2371;РОСС DE.ФM08.Д36648;14.09.2016;ООО "Окружной центр контроля качества" г. Москва;01.05.2019;;10113110/150916/0050;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;31,280582408402;;1;
Аптека №210;Метотрексат 2,5мг №50 (Озон);Озон;Россия;4607027762322;216;165,11;172;224,41;1;165,11;01.04.2019;010316;РОСС RU.ФМ08.Д23071;01.04.2019;ОЦКК;01.04.2019;;;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;29,587209302326;ЖНВЛС;1;
Аптека №210;Кетанов 30г/мл 1мл амп №10;С.К.Терапия;Румыния;4601764004806;109;86,37;86,56;79,19;1;86,37;01.09.2019;09163778;РОСС RO.ФM08.Д43918;23.11.2016;ООО "Окружной центр контроля качества" г. Москва;01.09.2019;;10130030/251116/0005;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;26,143715341959;ЖНВЛС;1;
Аптека №210;Рупафин 10мг №14;Х.Уриях и СИА С.А. ES;Испания;8002660008695;739;525,57;500,544;0;1;525,57;01.01.2020;M001;POCC ES.ФM15.Д27582;01.01.1900;ООО"ОЦКК"  Москва;01.01.2020;;10130030/160217/0000694/2;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;40,609243297753;;1;
Аптека №210;Бипрол 5мг таб п/о №30;Хемофарм,ООО;Россия;4607143560338;115;87,31;93,181;84,71;1;87,31;01.10.2019;0301016;POCC RU.ФM08.Д43975;01.01.1900;ООО"ОЦКК"  Москва;01.10.2019;;;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;29,716358485099;ЖНВЛС;1;
Аптека №210;Бипрол 2,5мг таб п/о №30;Хемофарм,ООО;Россия;4607143560727;114;90,97;87,58;84,7;2;181,94;01.07.2019;0020716;РОСС RU.ФM08.Д33639;15.08.2016;ООО "Окружной центр контроля качества" г. Москва;01.07.2019;;;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;26,295957981274;ЖНВЛС;1;
Аптека №210;Энтерол д/вн 100мг пор сусп №20;Биокодекс;Франция;3583313437949;303;232,71;221,628;0;1;232,71;01.03.2019;2447;POCC FR.ФM08.Ф02307;01.01.1900;ООО"ОЦКК"  Москва;01.03.2019;;10130110/060416/0000900/3;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;30,204976150574;;1;
Аптека №210;Альфа Д3-Тева 0,25мкг капс №60;Тева;Израиль-Германия;7290008095044;583;487,43;456,401;415,69;1;487,43;01.07.2019;A04229;IL.ФМ15.Д19424;02.11.2016;ООО "ОКРУЖНОЙ ЦЕНТР КОНТРОЛЯ КАЧЕСТВА";01.07.2019;;10130032/111116/001;149;27.10.2017;Приход перемещением №149;ГУП УР "Аптеки Удмуртии"  Аптека №138 г.Ижевск ул Тверская,36;10;20,939919062404;ЖНВЛС;1;
